u,v,weight
UBB,HIF3A,1.0
UBB,ELOC,1.0
UBB,FADD,1.0
UBB,CHUK,1.0
UBB,TICAM1,1.0
UBB,ELOB,1.0
UBB,VHL,1.0
UBB,RBX1,1.0
UBB,LY96,1.0
UBB,CUL2,1.0
UBB,RIPK1,1.0
UBB,HIF1A,1.0
UBB,TICAM2,1.0
UBB,TMED7-TICAM2,1.0
UBB,IKBKB,1.0
UBB,BIRC3,1.0
UBB,CD14,1.0
UBB,MDM2,1.0
UBB,CASP8,1.0
UBB,TLR3,1.0
UBB,TLR4,1.0
UBB,PSMC3,1.0
UBB,H3C3,1.0
UBB,H3C10,1.0
UBB,H3C12,1.0
UBB,H3C6,1.0
UBB,H3C4,1.0
UBB,H3C8,1.0
UBB,H3C2,1.0
UBB,H3C1,1.0
UBB,H3C11,1.0
UBB,H3C7,1.0
UBB,H3C13,1.0
UBB,H3C14,1.0
UBB,H3C15,1.0
UBB,PTTG1,1.0
UBB,CCNB1,1.0
UBB,BUB3,1.0
UBB,AURKA,1.0
UBB,PSMD12,1.0
UBB,EHMT2,1.0
UBB,CDC20,1.0
UBB,ISG15,1.0
UBB,PSMC6,1.0
UBB,PSMB11,1.0
UBB,CXCL8,1.0
UBB,PSMD9,1.0
UBB,ANAPC10,1.0
UBB,ESPL1,1.0
UBB,CDKN1A,1.0
UBB,CDC27,1.0
UBB,CDK7,1.0
UBB,MNAT1,1.0
UBB,PSMB10,1.0
UBB,CDK1,1.0
UBB,ANAPC5,1.0
UBB,MAD2L1,1.0
UBB,PSMD13,1.0
UBB,H3-3A,1.0
UBB,H3-3B,1.0
UBB,ANAPC4,1.0
UBB,PSMB3,1.0
UBB,PLK1,1.0
UBB,CUL1,1.0
